inventory_id,part_id,part_number,quantity_on_hand,reorder_point,max_stock,location,last_count_date,days_of_supply
INV001,P001,AV-2847,45,30,100,Melbourne-WH1,2024-11-25,32
INV002,P002,EL-9921,78,50,150,Melbourne-WH1,2024-11-25,28
INV003,P003,MC-4455,125,80,250,Melbourne-WH2,2024-11-25,45
INV004,P004,RF-7733,34,25,75,Melbourne-WH1,2024-11-25,21
INV005,P005,CM-1122,18,15,40,Melbourne-WH3,2024-11-25,25
INV006,P006,FH-3344,450,300,800,Melbourne-WH2,2024-11-25,60
INV007,P007,AV-5566,12,10,30,Melbourne-WH1,2024-11-25,18
INV008,P008,RM-7788,280,200,500,Melbourne-WH4,2024-11-25,35
INV009,P009,EL-8899,55,40,100,Melbourne-WH1,2024-11-25,30
INV010,P010,MC-2233,68,50,120,Melbourne-WH2,2024-11-25,38
INV011,P011,AV-1234,8,10,25,Melbourne-WH1,2024-11-25,14
INV012,P012,EL-5678,22,20,50,Melbourne-WH1,2024-11-25,24
INV013,P013,CM-9012,6,5,15,Melbourne-WH3,2024-11-25,20
INV014,P014,MC-3456,3,5,10,Melbourne-WH2,2024-11-25,45
INV015,P015,FH-7890,890,500,1500,Melbourne-WH2,2024-11-25,75
INV016,P016,RM-2345,95,70,200,Melbourne-WH4,2024-11-25,42
INV017,P017,EL-6789,28,25,60,Melbourne-WH1,2024-11-25,26
INV018,P018,AV-0123,42,35,80,Melbourne-WH1,2024-11-25,33
INV019,P019,MC-4567,88,60,150,Melbourne-WH2,2024-11-25,44
INV020,P020,CM-8901,35,30,80,Melbourne-WH3,2024-11-25,28

